NDC	MAPB_id	drug_id	MAPB_name	drug_name	new_sort
00002300475	d00236	d00236	fluoxetine	fluoxetine	142
00002322730	d04827	d04827	atomoxetine	atomoxetine	29
00002322830	d04827	d04827	atomoxetine	atomoxetine	29
00002322930	d04827	d04827	atomoxetine	atomoxetine	29
00002323030	d00236	d04917	fluoxetine	fluoxetine-olanzapine	142
00002323130	d00236	d04917	fluoxetine	fluoxetine-olanzapine	142
00002323330	d00236	d04917	fluoxetine	fluoxetine-olanzapine	142
00002323560	d05355	d05355	duloxetine	duloxetine	106
00002323830	d04827	d04827	atomoxetine	atomoxetine	29
00002323930	d04827	d04827	atomoxetine	atomoxetine	29
00002324030	d05355	d05355	duloxetine	duloxetine	106
00002324090	d05355	d05355	duloxetine	duloxetine	106
00002325030	d04827	d04827	atomoxetine	atomoxetine	29
00002325130	d04827	d04827	atomoxetine	atomoxetine	29
00002327004	d05355	d05355	duloxetine	duloxetine	106
00002327030	d05355	d05355	duloxetine	duloxetine	106
00002448354	d08665	d08665	abemaciclib	abemaciclib	2
00002481554	d08665	d08665	abemaciclib	abemaciclib	2
00002533754	d08665	d08665	abemaciclib	abemaciclib	2
00002621654	d08665	d08665	abemaciclib	abemaciclib	2
00003052411	d05831	d05831	dasatinib	dasatinib	85
00003052711	d05831	d05831	dasatinib	dasatinib	85
00003052811	d05831	d05831	dasatinib	dasatinib	85
00003085222	d05831	d05831	dasatinib	dasatinib	85
00003085522	d05831	d05831	dasatinib	dasatinib	85
00003085722	d05831	d05831	dasatinib	dasatinib	85
00003362212	d04882	d04882	atazanavir	atazanavir	27
00003362412	d04882	d04882	atazanavir	atazanavir	27
00003363112	d04882	d04882	atazanavir	atazanavir	27
00003364111	d04882	d08340	atazanavir	atazanavir-cobicistat	27
00004035009	d04821	d04821	peginterferon alfa-2a	peginterferon alfa-2a	259
00004035730	d04821	d04821	peginterferon alfa-2a	peginterferon alfa-2a	259
00004036030	d04821	d04821	peginterferon alfa-2a	peginterferon alfa-2a	259
00004036530	d04821	d04821	peginterferon alfa-2a	peginterferon alfa-2a	259
00004110020	d04311	d04311	capecitabine	capecitabine	49
00004110150	d04311	d04311	capecitabine	capecitabine	49
00006054331	d00746	d00746	simvastatin	simvastatin	307
00006071731	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006071754	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006071782	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006072631	d00746	d00746	simvastatin	simvastatin	307
00006073531	d00746	d00746	simvastatin	simvastatin	307
00006073554	d00746	d00746	simvastatin	simvastatin	307
00006074031	d00746	d00746	simvastatin	simvastatin	307
00006074054	d00746	d00746	simvastatin	simvastatin	307
00006074531	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006074554	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006074731	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006074754	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006074782	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00006074931	d00746	d00746	simvastatin	simvastatin	307
00006074954	d00746	d00746	simvastatin	simvastatin	307
00006095154	d03821	d03821	losartan	losartan	201
00006095231	d03821	d03821	losartan	losartan	201
00006095254	d03821	d03821	losartan	losartan	201
00006095282	d03821	d03821	losartan	losartan	201
00006096031	d03821	d03821	losartan	losartan	201
00006096054	d03821	d03821	losartan	losartan	201
00006302602	d08287	d08287	pembrolizumab	pembrolizumab	262
00007337013	d03847	d03847	carvedilol	carvedilol	55
00007337113	d03847	d03847	carvedilol	carvedilol	55
00007337213	d03847	d03847	carvedilol	carvedilol	55
00007337313	d03847	d03847	carvedilol	carvedilol	55
00007413920	d03847	d03847	carvedilol	carvedilol	55
00007414020	d03847	d03847	carvedilol	carvedilol	55
00007414120	d03847	d03847	carvedilol	carvedilol	55
00007414220	d03847	d03847	carvedilol	carvedilol	55
00007464013	d07357	d07357	eltrombopag	eltrombopag	116
00007464113	d07357	d07357	eltrombopag	eltrombopag	116
00007464213	d07357	d07357	eltrombopag	eltrombopag	116
00007464313	d07357	d07357	eltrombopag	eltrombopag	116
00008060601	d04514	d04514	pantoprazole	pantoprazole	256
00008060701	d04514	d04514	pantoprazole	pantoprazole	256
00008060704	d04514	d04514	pantoprazole	pantoprazole	256
00008083303	d03181	d03181	venlafaxine	venlafaxine	364
00008083321	d03181	d03181	venlafaxine	venlafaxine	364
00008083322	d03181	d03181	venlafaxine	venlafaxine	364
00008083603	d03181	d03181	venlafaxine	venlafaxine	364
00008083620	d03181	d03181	venlafaxine	venlafaxine	364
00008083621	d03181	d03181	venlafaxine	venlafaxine	364
00008083622	d03181	d03181	venlafaxine	venlafaxine	364
00008083703	d03181	d03181	venlafaxine	venlafaxine	364
00008083721	d03181	d03181	venlafaxine	venlafaxine	364
00008083722	d03181	d03181	venlafaxine	venlafaxine	364
00008084181	d04514	d04514	pantoprazole	pantoprazole	256
00008084199	d04514	d04514	pantoprazole	pantoprazole	256
00008084381	d04514	d04514	pantoprazole	pantoprazole	256
00008084402	d04514	d04514	pantoprazole	pantoprazole	256
00008092355	d04514	d04514	pantoprazole	pantoprazole	256
00009454402	d04294	d04294	tolterodine	tolterodine	344
00009519001	d04294	d04294	tolterodine	tolterodine	344
00009519002	d04294	d04294	tolterodine	tolterodine	344
00009519003	d04294	d04294	tolterodine	tolterodine	344
00009519101	d04294	d04294	tolterodine	tolterodine	344
00009519102	d04294	d04294	tolterodine	tolterodine	344
00009519103	d04294	d04294	tolterodine	tolterodine	344
00009519104	d04294	d04294	tolterodine	tolterodine	344
00009766304	d04461	d04461	exemestane	exemestane	131
00013010101	d00379	d00379	sulfasalazine	sulfasalazine	320
00013010120	d00379	d00379	sulfasalazine	sulfasalazine	320
00013010201	d00379	d00379	sulfasalazine	sulfasalazine	320
00013010220	d00379	d00379	sulfasalazine	sulfasalazine	320
00023586230	d00229	d03238	ethinyl estradiol	ethinyl estradiol-norethindrone	381
00023587901	d00426	d03140	ascorbic acid	multivitamin	380
00023600201	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00023602101	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00023602201	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00023602205	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00024159601	d00351	d00351	primaquine	primaquine	277
00025151501	d04380	d04380	celecoxib	celecoxib	57
00025152031	d04380	d04380	celecoxib	celecoxib	57
00025152531	d04380	d04380	celecoxib	celecoxib	57
00025152534	d04380	d04380	celecoxib	celecoxib	57
00025152551	d04380	d04380	celecoxib	celecoxib	57
00025153002	d04380	d04380	celecoxib	celecoxib	57
00037200101	d00960	d00960	carisoprodol	carisoprodol	54
00037682004	d00426	d01023	ascorbic acid	polyethylene glycol 3350 with electrolytes	380
00039022110	d03864	d03864	glimepiride	glimepiride	156
00039022210	d03864	d03864	glimepiride	glimepiride	156
00039022310	d03864	d03864	glimepiride	glimepiride	156
00049005001	d00880	d00880	sertraline	sertraline	303
00049017001	d00246	d00246	glipizide	glipizide	157
00049017402	d00246	d00246	glipizide	glipizide	157
00049017403	d00246	d00246	glipizide	glipizide	157
00049017807	d00246	d00246	glipizide	glipizide	157
00049017808	d00246	d00246	glipizide	glipizide	157
00049155073	d00246	d00246	glipizide	glipizide	157
00049318030	d04803	d04803	voriconazole	voriconazole	368
00049411066	d00246	d00246	glipizide	glipizide	157
00049412066	d00246	d00246	glipizide	glipizide	157
00049490030	d00880	d00880	sertraline	sertraline	303
00049490041	d00880	d00880	sertraline	sertraline	303
00049491030	d00880	d00880	sertraline	sertraline	303
00049491041	d00880	d00880	sertraline	sertraline	303
00049496030	d00880	d00880	sertraline	sertraline	303
00051002121	d00866	d00866	dronabinol	dronabinol	103
00051002221	d00866	d00866	dronabinol	dronabinol	103
00052026106	d00229	d03782	ethinyl estradiol	desogestrel-ethinyl estradiol	381
00052026108	d00229	d03782	ethinyl estradiol	desogestrel-ethinyl estradiol	381
00052027301	d00229	d04773	ethinyl estradiol	ethinyl estradiol-etonogestrel	381
00052027303	d00229	d04773	ethinyl estradiol	ethinyl estradiol-etonogestrel	381
00052028306	d00229	d03782	ethinyl estradiol	desogestrel-ethinyl estradiol	381
00054006258	d04332	d04332	citalopram	citalopram	68
00054006447	d00867	d00867	ondansetron	ondansetron	246
00054008013	d04461	d04461	exemestane	exemestane	131
00054009021	d04750	d04750	galantamine	galantamine	151
00054009121	d04750	d04750	galantamine	galantamine	151
00054009221	d04750	d04750	galantamine	galantamine	151
00054009720	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054009725	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054009820	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054009825	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054009920	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054009925	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054011025	d04440	d04440	perindopril	perindopril	263
00054011125	d04440	d04440	perindopril	perindopril	263
00054011225	d04440	d04440	perindopril	perindopril	263
00054012322	d03821	d03821	losartan	losartan	201
00054012422	d03821	d03821	losartan	losartan	201
00054012522	d03821	d03821	losartan	losartan	201
00054012622	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00054012722	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00054013749	d04750	d04750	galantamine	galantamine	151
00054016413	d03873	d03873	anastrozole	anastrozole	20
00054019959	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00054021025	d00875	d00875	protriptyline	protriptyline	282
00054021125	d00875	d00875	protriptyline	protriptyline	282
00054022849	d04532	d04532	meloxicam	meloxicam	207
00054024324	d00012	d00012	codeine	codeine	74
00054024424	d00012	d00012	codeine	codeine	74
00054024425	d00012	d00012	codeine	codeine	74
00054024525	d00012	d00012	codeine	codeine	74
00054024822	d04758	d04758	imatinib	imatinib	167
00054026913	d04156	d04156	letrozole	letrozole	195
00054027121	d04311	d04311	capecitabine	capecitabine	49
00054027223	d04311	d04311	capecitabine	capecitabine	49
00054027313	d00259	d00259	imipramine	imipramine	168
00054027413	d00259	d00259	imipramine	imipramine	168
00054027513	d00259	d00259	imipramine	imipramine	168
00054027613	d00259	d00259	imipramine	imipramine	168
00054027722	d03821	d03830	losartan	hydrochlorothiazide-losartan	201
00054033425	d04512	d04512	cevimeline	cevimeline	61
00054039041	d00329	d00329	oxycodone	oxycodone	250
00054039063	d00329	d00329	oxycodone	oxycodone	250
00054039344	d00329	d00329	oxycodone	oxycodone	250
00054042725	d00038	d00038	flucytosine	flucytosine	139
00054052363	d00329	d00329	oxycodone	oxycodone	250
00054052625	d04557	d04557	clobazam	clobazam	69
00054052725	d04557	d04557	clobazam	clobazam	69
00054055125	d00049	d03431	acetaminophen	acetaminophen-oxycodone	4
00054055125	d00329	d03431	oxycodone	acetaminophen-oxycodone	250
00054055129	d00049	d03431	acetaminophen	acetaminophen-oxycodone	4
00054055129	d00329	d03431	oxycodone	acetaminophen-oxycodone	250
00054056150	d04557	d04557	clobazam	clobazam	69
00054057521	d00170	d04497	aspirin	aspirin-dipyridamole	26
00054318544	d00148	d00148	diazepam	diazepam	95
00054318863	d00148	d00148	diazepam	diazepam	95
00054408425	d00024	d00024	azathioprine	azathioprine	34
00054458111	d00289	d00289	mercaptopurine	mercaptopurine	209
00054458127	d00289	d00289	mercaptopurine	mercaptopurine	209
00054465025	d00049	d03431	acetaminophen	acetaminophen-oxycodone	4
00054465025	d00329	d03431	oxycodone	acetaminophen-oxycodone	250
00054465029	d00049	d03431	acetaminophen	acetaminophen-oxycodone	4
00054465029	d00329	d03431	oxycodone	acetaminophen-oxycodone	250
00054808425	d00024	d00024	azathioprine	azathioprine	34
00056016870	d00022	d00022	warfarin	warfarin	370
00056016875	d00022	d00022	warfarin	warfarin	370
00056016970	d00022	d00022	warfarin	warfarin	370
00056016975	d00022	d00022	warfarin	warfarin	370
00056016990	d00022	d00022	warfarin	warfarin	370
00056017070	d00022	d00022	warfarin	warfarin	370
00056017075	d00022	d00022	warfarin	warfarin	370
00056017090	d00022	d00022	warfarin	warfarin	370
00056017270	d00022	d00022	warfarin	warfarin	370
00056017275	d00022	d00022	warfarin	warfarin	370
00056017290	d00022	d00022	warfarin	warfarin	370
00056017370	d00022	d00022	warfarin	warfarin	370
00056017375	d00022	d00022	warfarin	warfarin	370
00056017470	d00022	d00022	warfarin	warfarin	370
00056017475	d00022	d00022	warfarin	warfarin	370
00056017670	d00022	d00022	warfarin	warfarin	370
00056017675	d00022	d00022	warfarin	warfarin	370
00056017690	d00022	d00022	warfarin	warfarin	370
00056018870	d00022	d00022	warfarin	warfarin	370
00056018875	d00022	d00022	warfarin	warfarin	370
00056018970	d00022	d00022	warfarin	warfarin	370
00056018975	d00022	d00022	warfarin	warfarin	370
00056047492	d04355	d04355	efavirenz	efavirenz	109
00056051030	d04355	d04355	efavirenz	efavirenz	109
00067628614	d03828	d03828	lansoprazole	lansoprazole	188
00067628628	d03828	d03828	lansoprazole	lansoprazole	188
00067628642	d03828	d03828	lansoprazole	lansoprazole	188
00068001101	d00145	d00145	desipramine	desipramine	88
00069013501	d07901	d07901	bosutinib	bosutinib	41
00069013601	d07901	d07901	bosutinib	bosutinib	41
00069018721	d08342	d08342	palbociclib	palbociclib	252
00069018821	d08342	d08342	palbociclib	palbociclib	252
00069018921	d08342	d08342	palbociclib	palbociclib	252
00069019301	d07901	d07901	bosutinib	bosutinib	41
00069022701	d09047	d09047	lorlatinib	lorlatinib	200
00069023101	d09047	d09047	lorlatinib	lorlatinib	200
00069024230	d07162	d07162	fesoterodine	fesoterodine	136
00069024430	d07162	d07162	fesoterodine	fesoterodine	136
00069119530	d09010	d09010	talazoparib	talazoparib	326
00069323066	d00343	d00343	piroxicam	piroxicam	268
00069814020	d07800	d07800	crizotinib	crizotinib	75
00069814120	d07800	d07800	crizotinib	crizotinib	75
00071000724	d00143	d00143	phenytoin	phenytoin	266
00071000740	d00143	d00143	phenytoin	phenytoin	266
00071036924	d00143	d00143	phenytoin	phenytoin	266
00071036932	d00143	d00143	phenytoin	phenytoin	266
00071036940	d00143	d00143	phenytoin	phenytoin	266
00071041724	d00321	d00321	nitroglycerin	nitroglycerin	234
00071041813	d00321	d00321	nitroglycerin	nitroglycerin	234
00071041824	d00321	d00321	nitroglycerin	nitroglycerin	234
00071041924	d00321	d00321	nitroglycerin	nitroglycerin	234
00071221420	d00143	d00143	phenytoin	phenytoin	266
00071374066	d00143	d00143	phenytoin	phenytoin	266
00074003828	d08851	d08851	elagolix	elagolix	111
00074003956	d08851	d08851	elagolix	elagolix	111
00074006328	d08322	d08323	dasabuvir	dasabuvir/ombitasvir/paritaprevir/ritonavir	83
00074304113	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00074304153	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00074304313	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00074304353	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00074305413	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00074305453	d00049	d03428	acetaminophen	acetaminophen-hydrocodone	4
00074309328	d08322	d08323	dasabuvir	dasabuvir/ombitasvir/paritaprevir/ritonavir	83
00074317390	d04286	d04286	fenofibrate	fenofibrate	135
00074318990	d04286	d04286	fenofibrate	fenofibrate	135
00074319716	d00085	d00085	ribavirin	ribavirin	292
00074328256	d00085	d00085	ribavirin	ribavirin	292
00074331290	d00746	d07110	simvastatin	niacin-simvastatin	307
00074345590	d00746	d07110	simvastatin	niacin-simvastatin	307
00074345790	d00746	d07110	simvastatin	niacin-simvastatin	307
00074345990	d00746	d07110	simvastatin	niacin-simvastatin	307
00074382611	d03833	d03833	divalproex sodium	divalproex sodium	97
00074382613	d03833	d03833	divalproex sodium	divalproex sodium	97
00074568113	d00083	d00083	valproic acid	valproic acid	358
00074568216	d00083	d00083	valproic acid	valproic acid	358
00074611411	d03833	d03833	divalproex sodium	divalproex sodium	97
00074611413	d03833	d03833	divalproex sodium	divalproex sodium	97
00074612290	d04286	d04286	fenofibrate	fenofibrate	135
00074612390	d04286	d04286	fenofibrate	fenofibrate	135
00074621213	d03833	d03833	divalproex sodium	divalproex sodium	97
00074621413	d03833	d03833	divalproex sodium	divalproex sodium	97
00074621453	d03833	d03833	divalproex sodium	divalproex sodium	97
00074621513	d03833	d03833	divalproex sodium	divalproex sodium	97
00074621553	d03833	d03833	divalproex sodium	divalproex sodium	97
00074712611	d03833	d03833	divalproex sodium	divalproex sodium	97
00074712613	d03833	d03833	divalproex sodium	divalproex sodium	97
00074712653	d03833	d03833	divalproex sodium	divalproex sodium	97
00076011101	d01128	d08274	methylene blue	hyoscyamine/methena/mblue/phenylsal/sodbiphos	212
00076090201	d01128	d08274	methylene blue	hyoscyamine/methena/mblue/phenylsal/sodbiphos	212
00076090301	d01128	d08274	methylene blue	hyoscyamine/methena/mblue/phenylsal/sodbiphos	212
00078012705	d00199	d00199	clozapine	clozapine	72
00078024915	d04156	d04156	letrozole	letrozole	195
00078033705	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00078035752	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00078038566	d05217	d05217	mycophenolic acid	mycophenolic acid	224
00078038666	d05217	d05217	mycophenolic acid	mycophenolic acid	224
00078040134	d04758	d04758	imatinib	imatinib	167
00078041420	d05626	d05626	everolimus	everolimus	129
00078041520	d05626	d05626	everolimus	everolimus	129
00078041720	d05626	d05626	everolimus	everolimus	129
00078042220	d05626	d05626	everolimus	everolimus	129
00078043815	d04758	d04758	imatinib	imatinib	167
00078045605	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00078045705	d04513	d04513	oxcarbazepine	oxcarbazepine	249
00078045805	d00134	d00134	metoprolol	metoprolol	214
00078050883	d00058	d00058	carbamazepine	carbamazepine	50
00078050905	d00058	d00058	carbamazepine	carbamazepine	50
00078051005	d00058	d00058	carbamazepine	carbamazepine	50
00078051105	d00058	d00058	carbamazepine	carbamazepine	50
00078051205	d00058	d00058	carbamazepine	carbamazepine	50
00078052651	d07057	d07057	nilotinib	nilotinib	231
00078052687	d07057	d07057	nilotinib	nilotinib	231
00078056651	d05626	d05626	everolimus	everolimus	129
00078056751	d05626	d05626	everolimus	everolimus	129
00078056761	d05626	d05626	everolimus	everolimus	129
00078059251	d07057	d07057	nilotinib	nilotinib	231
00078059287	d07057	d07057	nilotinib	nilotinib	231
00078059451	d05626	d05626	everolimus	everolimus	129
00078059620	d07441	d07441	iloperidone	iloperidone	166
00078059820	d07441	d07441	iloperidone	iloperidone	166
00078060120	d07441	d07441	iloperidone	iloperidone	166
00078062051	d05626	d05626	everolimus	everolimus	129
00078062651	d05626	d05626	everolimus	everolimus	129
00078062751	d05626	d05626	everolimus	everolimus	129
00078062851	d05626	d05626	everolimus	everolimus	129
00078064070	d08255	d08255	ceritinib	ceritinib	58
00078064930	d04758	d04758	imatinib	imatinib	167
00078066615	d08104	d08104	trametinib	trametinib	348
00078066815	d08104	d08104	trametinib	trametinib	348
00078067066	d07499	d07499	pazopanib	pazopanib	258
00078067119	d06672	d06672	lapatinib	lapatinib	189
00078067515	d00867	d00867	ondansetron	ondansetron	246
00078067615	d00867	d00867	ondansetron	ondansetron	246
00078067919	d00867	d00867	ondansetron	ondansetron	246
00078068019	d00867	d00867	ondansetron	ondansetron	246
00078068166	d08103	d08103	dabrafenib	dabrafenib	76
00078068266	d08103	d08103	dabrafenib	dabrafenib	76
00078068415	d07357	d07357	eltrombopag	eltrombopag	116
00078068515	d07357	d07357	eltrombopag	eltrombopag	116
00078068615	d07357	d07357	eltrombopag	eltrombopag	116
00078068715	d07357	d07357	eltrombopag	eltrombopag	116
00078069819	d08575	d08575	midostaurin	midostaurin	215
00078069899	d08575	d08575	midostaurin	midostaurin	215
00078086001	d08533	d08533	ribociclib	ribociclib	293
00078086742	d08533	d08533	ribociclib	ribociclib	293
00078087463	d08533	d08533	ribociclib	ribociclib	293
00078091661	d04156	d08583	letrozole	letrozole-ribociclib	195
00078091661	d08533	d08583	ribociclib	letrozole-ribociclib	293
00078092361	d04156	d08583	letrozole	letrozole-ribociclib	195
00078092361	d08533	d08583	ribociclib	letrozole-ribociclib	293
00085081930	d00321	d00321	nitroglycerin	nitroglycerin	234
00085173301	d04500	d04500	moxifloxacin	moxifloxacin	223
00085173302	d04500	d04500	moxifloxacin	moxifloxacin	223
00085175401	d00011	d00011	ciprofloxacin	ciprofloxacin	66
00085331030	d00321	d00321	nitroglycerin	nitroglycerin	234
00085331035	d00321	d00321	nitroglycerin	nitroglycerin	234
00085331530	d00321	d00321	nitroglycerin	nitroglycerin	234
00085331535	d00321	d00321	nitroglycerin	nitroglycerin	234
00085332030	d00321	d00321	nitroglycerin	nitroglycerin	234
00085332035	d00321	d00321	nitroglycerin	nitroglycerin	234
00085333030	d00321	d00321	nitroglycerin	nitroglycerin	234
00085434701	d04746	d04746	peginterferon alfa-2b	peginterferon alfa-2b	260
00085434801	d04746	d04746	peginterferon alfa-2b	peginterferon alfa-2b	260
00085434901	d04746	d04746	peginterferon alfa-2b	peginterferon alfa-2b	260
00089130230	d00321	d00321	nitroglycerin	nitroglycerin	234
00093001006	d04294	d04294	tolterodine	tolterodine	344
00093001198	d04514	d04514	pantoprazole	pantoprazole	256
00093001298	d04514	d04514	pantoprazole	pantoprazole	256
00093001805	d04294	d04294	tolterodine	tolterodine	344
00093001806	d04294	d04294	tolterodine	tolterodine	344
00093005001	d00012	d03423	codeine	acetaminophen-codeine	74
00093005001	d00049	d03423	acetaminophen	acetaminophen-codeine	4
00093005101	d03847	d03847	carvedilol	carvedilol	55
00093005105	d03847	d03847	carvedilol	carvedilol	55
00093005801	d03826	d03826	tramadol	tramadol	347
00093005805	d03826	d03826	tramadol	tramadol	347
00093006456	d04448	d04448	rabeprazole	rabeprazole	285
00093008801	d00119	d00124	sulfamethoxazole	sulfamethoxazole-trimethoprim	382
00093008901	d00119	d00124	sulfamethoxazole	sulfamethoxazole-trimethoprim	382
00093008905	d00119	d00124	sulfamethoxazole	sulfamethoxazole-trimethoprim	382
00093009001	d00058	d00058	carbamazepine	carbamazepine	50
00093010901	d00058	d00058	carbamazepine	carbamazepine	50
00093010910	d00058	d00058	carbamazepine	carbamazepine	50
00093013501	d03847	d03847	carvedilol	carvedilol	55
00093013505	d03847	d03847	carvedilol	carvedilol	55
00093015001	d00012	d03423	codeine	acetaminophen-codeine	74
00093015001	d00049	d03423	acetaminophen	acetaminophen-codeine	4
00093015010	d00012	d03423	codeine	acetaminophen-codeine	74
00093015010	d00049	d03423	acetaminophen	acetaminophen-codeine	4
00093019901	d03181	d03181	venlafaxine	venlafaxine	364
00093023356	d00867	d00867	ondansetron	ondansetron	246
00093035001	d00012	d03423	codeine	acetaminophen-codeine	74
00093035001	d00049	d03423	acetaminophen	acetaminophen-codeine	4
00093035005	d00012	d03423	codeine	acetaminophen-codeine	74
00093035005	d00049	d03423	acetaminophen	acetaminophen-codeine	4
00093035010	d00012	d03423	codeine	acetaminophen-codeine	74
00093035010	d00049	d03423	acetaminophen	acetaminophen-codeine	4
00093071101	d00239	d00239	flurbiprofen	flurbiprofen	144
00093071105	d00239	d00239	flurbiprofen	flurbiprofen	144
00093073301	d00134	d00134	metoprolol	metoprolol	214
00093073310	d00134	d00134	metoprolol	metoprolol	214
00093073401	d00134	d00134	metoprolol	metoprolol	214
00093073410	d00134	d00134	metoprolol	metoprolol	214
00093075601	d00343	d00343	piroxicam	piroxicam	268
00093075701	d00343	d00343	piroxicam	piroxicam	268
00093075705	d00343	d00343	piroxicam	piroxicam	268
00093077801	d00058	d00058	carbamazepine	carbamazepine	50
00093078201	d00381	d00381	tamoxifen	tamoxifen	327
00093078205	d00381	d00381	tamoxifen	tamoxifen	327
00093078210	d00381	d00381	tamoxifen	tamoxifen	327
00093078256	d00381	d00381	tamoxifen	tamoxifen	327
00093078405	d00381	d00381	tamoxifen	tamoxifen	327
00093078406	d00381	d00381	tamoxifen	tamoxifen	327
00093078486	d00381	d00381	tamoxifen	tamoxifen	327
00093081001	d00144	d00144	nortriptyline	nortriptyline	237
00093081005	d00144	d00144	nortriptyline	nortriptyline	237
00093081101	d00144	d00144	nortriptyline	nortriptyline	237
00093081105	d00144	d00144	nortriptyline	nortriptyline	237
00093081201	d00144	d00144	nortriptyline	nortriptyline	237
00093081205	d00144	d00144	nortriptyline	nortriptyline	237
00093081301	d00144	d00144	nortriptyline	nortriptyline	237
00093081305	d00144	d00144	nortriptyline	nortriptyline	237
00093171201	d00022	d00022	warfarin	warfarin	370
00093171210	d00022	d00022	warfarin	warfarin	370
00093171301	d00022	d00022	warfarin	warfarin	370
00093171310	d00022	d00022	warfarin	warfarin	370
00093171401	d00022	d00022	warfarin	warfarin	370
00093171410	d00022	d00022	warfarin	warfarin	370
00093171501	d00022	d00022	warfarin	warfarin	370
